llm_id,sub_category,name,image_url,url,description,price,upgrades,tags,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrate,dietary_fiber,sugars,protein
A047,STEAKS,CHARGRILLED STEAK ,,,"8oz certified angus beef® sirloin, buttered mashed potatoes, roasted asparagus",$33.75 ,"Upgrade any 8oz sirloin to:
7oz certified angus beef® filet+13
12oz certified angus beef® new york striploin+12

Add to your steak:
atlantic lobster tail+20",Gluten-Smart,,,,,,,,,,,
A048,STEAKS,"MILLIONAIRE’S CUT
",,,"white wine sautéed creole prawns, buttered mashed potatoes, roasted asparagus","51.75
50.75","with your choice of the following:
7oz certified angus beef® filet 51.75 
12oz new york striploin 50.75",,,,,,,,,,,,
A049,DESSERTS,CHOCOLATE LAVA CAKE ,,,"molten dark chocolate cake, tahitian vanilla ice cream",$11.50 ,,Vegetarian,,,,,,,,,,,
A050,DESSERTS,CHOCOLATE PEANUT BUTTER CRUNCH BAR ,,,"tahitian vanilla ice cream, caramel sauce, crunchy chocolate pearls",$11.50 ,,Vegetarian,,,,,,,,,,,
A051,DESSERTS,KEY LIME PIE ,,,"freshly squeezed key limes, graham cracker crust, hand-whipped cream",$11.50 ,,Vegetarian,,,,,,,,,,,
A052,DESSERTS,NEW YORK CHEESECAKE ,,,"graham cracker crust, raspberry compote, hand-whipped cream",$11.50 ,,Vegetarian,,,,,,,,,,,
A053,"PLANT BASED + VEGETARIAN
",SZECHUAN TOFU LETTUCE WRAPS ,,,"sweet and spicy crispy szechuan tofu, peanuts, wontons, korean chili sauce, spicy yogurt",$21.75 ,,Vegetarian: dish can be made vegan-friendly upon request,,,,,,,,,,,
A054,"PLANT BASED + VEGETARIAN
",EDAMAME ,,,"steamed soybeans, sea salt",$9.75 ,,Vegan-friendly: food items may come into contact with non-vegan ingredients,228,280,12,1.5,0,0,600,23,12,5,25
A055,"PLANT BASED + VEGETARIAN
",CRISPY YAM FRIES ,,,garlic aioli,$10.75 ,,Vegetarian: dish can be made vegan-friendly upon request,292,840,48,3.5,0.2,0,1500,98,11,29,5
A056,"PLANT BASED + VEGETARIAN
",TRUFFLE FRIES ,,,"truffle, herbs, grana padano, garlic aioli",$11.50 ,,Vegetarian,249,670,47,5,0.2,10,2480,60,5,3,9
A057,"PLANT BASED + VEGETARIAN
",THE MED BOWL ,,,"falafel, turmeric rice, beetroot hummus, kale, cucumber, red onion, tomatoes, macedonian feta, kalamata olives, yogurt, pickled red cabbage
vegan option available",$20 ,,Vegetarian,444,700,35,5,0.1,0,1900,76,8,12,11
A058,"PLANT BASED + VEGETARIAN
",CRISPY TOFU BOWL ,,,"100% plant-based. soy chili tofu, jasmine rice, mango, cucumber, avocado, edamame, ginger, radish",$22.75 ,,Vegan-friendly: food items may come into contact with non-vegan ingredients,604,900,50,6,0.1,0,1550,87,10,25,27
A059,"PLANT BASED + VEGETARIAN
",GARDENBURGER® ,,,"aged cheddar, red relish, mayonnaise, ketchup, mustard, brioche bun, sea salted fries",$20.75 ,,Vegetarian,339,870,58,20,1,80,1530,64,5,10,24
A060,"PLANT BASED + VEGETARIAN
",IMPOSSIBLE™ BURGER ,,,"impossible™ plant-based patty, red relish, vegan mayo, ketchup, mustard, vegan bun, sea salted fries",$21.75 ,,Vegan-friendly: food items may come into contact with non-vegan ingredients,,,,,,,,,,,
A061,GLUTEN SMART,CALAMARI BRAVAS,,,"tender ocean wise™ humboldt squid, peppers, jalapeños, dill, tzatziki, paprika aioli",$19 ,,"New, May contain gluten due to fryer",417,1000,77,10,0.2,500,1260,45,2,4,36
A062,GLUTEN SMART,HOT CHICKEN + PICKLES,,,"crispy fried chicken, nashville spice, honey, creamy parmesan dip",$18 ,,"New, May contain gluten due to fryer",322,1060,70,10,0.2,160,1360,58,2,14,54
A063,GLUTEN SMART,TRUFFLE FRIES ,,,"truffle, herbs, grana padano, garlic aioli",$11.50 ,,"Vegetarian, french fries may contain gluten due to fryer",249,670,47,5,0.2,10,2480,60,5,3,9
A064,GLUTEN SMART,CRISPY YAM FRIES ,,,garlic aioli,$10.75 ,,"Vegan-friendly: food items may come into contact with non-vegan ingredients
Garlic aiolo containes egg, fries may contain gluten due to fryer",292,840,48,3.5,0.2,0,1500,98,11,29,5
A065,GLUTEN SMART,EDAMAME ,,,"steamed soybeans, sea salt",$9.75 ,,Vegan-friendly: food items may come into contact with non-vegan ingredients,228,280,12,1.5,0,0,600,23,12,5,25
A066,GLUTEN SMART,"THE MED BOWL
",,,"turmeric rice, beetroot hummus, kale, cucumber, red onion, tomatoes, macedonian feta, kalamata olives, yogurt, pickled red cabbage","24.75
20","with your choice of the following: 
falafel and grilled shawarma chicken 24.75
falafel 20",Note: falafel may contain gluten due to fryer.,,,,,,,,,,,
A067,GLUTEN SMART,CRISPY TOFU BOWL ,,,"100% plant-based. soy chili tofu, jasmine rice, mango, cucumber, avocado, edamame, ginger, radish",$22.75 ,,"tofu may contain gluten due to fryer
Vegan-friendly: food items may come into contact with non-vegan ingredients",604,900,50,6,0.1,0,1550,87,10,25,27
A068,GLUTEN SMART,"LEMONGRASS NOODLE SALAD
",,,"grilled lemongrass chicken, rice noodles, fresh greens, peanuts, avocado, carrot, cabbage, serrano peppers, thai basil, cilantro, sweet citrus vinaigrette",$23.25 ,"order without: sushi sauce
substitute lemongrass prawns +4",,,,,,,,,,,,
A069,GLUTEN SMART,"THE FEENIE BURGER
",,,"smashed certified angus beef®, sautéed mushrooms, aged cheddar, smoked bacon, red relish, mayonnaise, ketchup, mustard, gluten-free bun",$25.50 ,,,537,1110,77,35,1.5,230,1980,58,3,21,54
A070,GLUTEN SMART,CHEDDAR BACON BURGER,,,"smashed certified angus beef®, aged cheddar, smoked bacon, red relish, mayonnaise, ketchup, mustard, gluten-free bun",$24.25 ,,,378,830,47,18,0.3,170,1970,55,3,19,52
A071,GLUTEN SMART,"CAJUN CHICKEN SANDWICH
",,,"blackened cajun chicken, aged cheddar, lettuce, tomato, mayonnaise, gluten-free bun",$22.75 ,,,312,790,57,17,0.5,155,2350,41,3,8,40
A072,GLUTEN SMART,"THAI GREEN CURRY
",,,"coconut green curry, jasmine rice, bok choy, spinach, peppers, bean sprouts, thai basil, cilantro, crispy rice",,"with your choice of the following:  
prawns 26.25
chicken 23.75",,,,,,,,,,,,
A073,GLUTEN SMART,"GRILLED SALMON
",,,"ocean wise™ lois lake steelhead, buttered mashed potatoes, roasted asparagus",$30.25 ,,,340,510,33,12,0.4,110,1080,25,3,1,41
A074,GLUTEN SMART,"CHARGRILLED STEAK
",,,"8oz certified angus beef® sirloin, buttered mashed potatoes, roasted asparagus",$33.75 ,add pernod peppercorn demi-glace +4,,,,,,,,,,,,
A075,GLUTEN SMART,STEAK + LOBSTER,,,"atlantic lobster tail, buttered mashed potatoes, roasted asparagus, grilled lemon","66.75
65.75","with your choice of the following:
7oz certified angus beef® filet 66.75
12oz new york striploin 65.75",New,,,,,,,,,,,
